Participant Code,Region,log_berpikir,k_numerikal,d_analisa,k_verbal,o_hasil,fleks,s_kerja,m_prestasi,kerjasama,k_interpersonal,pil_jabatan,prosen_kecocokan,hasil_rekomendasi
DCX_190,JAWA BARAT,2,2,3,2,3,4,2,2,3,3,SALES,100,Disarankan
DCX_191,JAWA BARAT,4,3,4,4,4,4,4,4,4,4,SALES,92.5,Disarankan
DCX_192,JAWA BARAT,4,4,5,4,5,4,4,4,4,4,SALES,95,Disarankan
DCX_193,JAWA BARAT,3,4,4,3,5,4,3,4,5,5,SALES,96.67,Disarankan
DCX_194,JAWA BARAT,3,4,4,4,4,3,4,3,5,5,SALES,90.83,Disarankan
DCX_195,JAWA BARAT,4,3,5,4,5,4,4,4,4,5,SALES,97.5,Disarankan
DCX_196,JAWA BARAT,3,3,4,3,4,4,4,4,5,5,SALES,97.5,Disarankan
DCX_197,JAWA BARAT,3,4,4,2,5,4,4,4,4,5,SALES,92.5,Disarankan
DCX_198,JAWA BARAT,3,3,4,3,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_199,JAWA BARAT,4,3,4,4,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_200,JAWA BARAT,3,3,5,3,4,4,4,4,5,5,SALES,97.5,Disarankan
DCX_201,JAWA BARAT,4,3,4,4,5,3,5,4,4,4,SALES,91.67,Disarankan
DCX_202,JAWA BARAT,4,4,4,4,4,3,4,3,5,5,SALES,90.83,Disarankan
DCX_203,JAWA BARAT,4,4,4,4,4,4,4,3,5,4,SALES,91.67,Disarankan
DCX_204,JAWA BARAT,4,4,5,4,4,4,3,3,5,5,SALES,90.83,Disarankan
DCX_205,JAWA BARAT,3,3,4,3,4,3,4,3,5,5,SALES,90.83,Disarankan
DCX_206,JAWA BARAT,3,3,4,3,4,4,3,5,5,4,SALES,91.67,Disarankan
DCX_207,JAWA BARAT,3,3,4,3,5,4,3,5,5,3,SALES,91.67,Disarankan
DCX_208,JAWA BARAT,3,3,4,4,5,3,5,4,4,4,SALES,91.67,Disarankan
DCX_209,JAWA BARAT,4,3,5,4,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_210,JAWA BARAT,4,3,5,4,4,3,3,4,5,5,SALES,90.83,Disarankan
DCX_211,JAWA BARAT,3,2,4,3,5,5,5,5,5,5,SALES,95,Disarankan
DCX_212,JAWA BARAT,3,3,5,3,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_213,JAWA BARAT,3,4,5,3,4,4,3,4,4,5,SALES,91.67,Disarankan
DCX_214,JAWA TENGAH,2,3,3,2,4,2,3,3,4,4,SALES,96.67,Disarankan
DCX_215,JAWA TENGAH,2,3,3,2,4,3,3,3,3,3,SALES,95,Disarankan
DCX_216,JAWA TENGAH,3,2,4,3,4,2,3,3,3,3,SALES,91.67,Disarankan
DCX_217,JAWA TENGAH,2,2,3,2,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_218,JAWA TENGAH,2,2,3,3,3,3,3,2,4,4,SALES,94.17,Disarankan
DCX_219,JAWA TENGAH,3,2,4,3,3,3,2,3,5,4,SALES,94.17,Disarankan
DCX_220,JAWA TENGAH,3,2,3,3,4,2,3,3,3,3,SALES,91.67,Disarankan
DCX_221,JAWA TENGAH,2,2,4,2,3,2,2,3,4,4,SALES,90.83,Disarankan
